lat,lon,title,type,link 
54.51,18.53,Węzeł Franciszki Cegielskiej,Autobus,
54.37,18.36,Małkowo,Autobus,
54.38,18.36,Miszewo Pępowo (N/Ż),Autobus,
54.39,18.36,Miszewo,Autobus,
54.46,18.45,Kacze Buki,Autobus,
54.39,18.38,Banino Pszenna,Autobus,
54.47,18.47,Kameliowa,Autobus,
54.52,18.54,3 Maja - Hala,Autobus,  
54.47,18.47,Dąbrowa Centrum,Autobus,
54.47,18.47,Paprykowa,Autobus,
54.47,18.46,Szafranowa,Autobus,
54.52,18.53,Gdynia Dworzec Gł. PKP,Autobus,
54.46,18.46,Leśna Polana,Autobus,
54.46,18.45,Rdestowa - Kolonia,Autobus,
54.52,18.53,Gdynia Dworzec Gł. PKP - Hala,Autobus,
54.52,18.53,Gdynia Dworzec Gł. PKP,Autobus,
54.53,18.52,Węzeł Ofiar Grudnia '70,Autobus,
54.53,18.52,Stocznia Gdynia,Autobus,
54.53,18.52,Węzeł Ofiar Grudnia '70,Autobus,
54.44,18.43,Chwaszczyno Szmaragdowa (N/Ż),Autobus,
54.44,18.45,Chwaszczyno Oliwska,Autobus,
54.46,18.46,Rdestowa - Leśny Zakątek,Autobus,
54.46,18.46,Kacze Buki,Autobus,
54.46,18.46,Krzemowa,Autobus,
54.46,18.46,Kacze Buki,Autobus,
54.46,18.45,Kacze Buki,Autobus,
54.45,18.45,Bieszczadzka,Autobus,
54.45,18.45,Kacze Buki Puszczyka,Autobus,
54.45,18.45,Bieszczadzka,Autobus,
54.46,18.45,Kacze Buki,Autobus,
54.53,18.52,Stocznia Gdynia,Autobus,
54.43,18.58,Ergo Arena,Autobus,
54.39,18.41,Banino Szkoła,Autobus,
54.39,18.42,Rębiechowo PKP (N/Ż),Autobus,
54.39,18.42,Rębiechowo Piaskowa,Autobus,
54.5,18.54,Korczaka,Autobus,
54.42,18.56,Kasztanowa,Autobus,
54.43,18.56,Smolna,Autobus,
54.47,18.48,Wielki Kack Fikakowo,Autobus,
54.52,18.54,10 Lutego - Skwer Kościuszki,Autobus,
54.5,18.55,Kopernika - Kościół,Autobus,
54.5,18.55,Szczeblewskiego,Autobus,
54.5,18.54,Wzgórze Św. Maksymiliana Syrokomli,Autobus,
54.49,18.53,Stadion Miejski,Autobus,
54.33,18.57,Lawendowe Wzgórze,Autobus,
54.33,18.57,Lawendowe Wzgórze,Autobus,
54.33,18.57,Nowosądecka,Autobus,
54.33,18.58,Nowosądecka,Autobus,
54.36,18.71,Stogi,Autobus,
54.36,18.72,Stogi,Autobus,
54.36,18.71,Zimna,Autobus,
54.36,18.71,Zimna,Autobus,
54.36,18.69,Lenartowicza,Autobus,
54.36,18.68,Przeróbka,Autobus,
54.35,18.67,Głęboka,Autobus,
54.35,18.49,Kokoszki (N/Ż),Autobus,
54.35,18.48,Stokłosy (N/Ż),Autobus,
54.32,18.6,Kampinoska,Autobus,
54.33,18.59,Piotrkowska,Autobus,
54.36,18.58,Warneńska,Autobus,
54.36,18.58,Warneńska,Autobus,
54.46,18.44,Gdynia Bielińskiego,Autobus,
54.45,18.43,Chwaszczyno Polna (N/Ż),Autobus,
54.45,18.43,Chwaszczyno Nytbusz (N/Ż),Autobus,
54.36,18.59,Belgradzka (N/Ż),Autobus,
54.31,18.6,Knyszyńska,Autobus,
54.31,18.59,Podleckiego,Autobus,
54.31,18.59,Podleckiego,Autobus,
54.34,18.5,Kiełpino Górne (dla wysiadających),Autobus,
54.38,18.56,Niedźwiednik (dla wysiadających),Autobus,
54.31,18.92,Przegalina (dla wysiadających),Autobus,
54.27,18.63,Pruszcz Domejki,Autobus,
54.44,18.57,Sopot Sobieskiego - Przychodnia,Autobus,
54.35,18.66,Długie Ogrody,Autobus,
54.41,18.48,Owczarnia,Autobus,
54.34,18.55,Źródlana (N/Ż),Autobus,
54.32,18.63,Nowiny (N/Ż),Autobus,
54.31,18.58,Barzychowskiej,Autobus,
54.49,18.55,Cylkowskiego,Autobus,
54.46,18.45,Gdynia Rdestowa - Kolonia (N/Ż),Autobus,
54.34,18.51,Lipuska,Autobus,
54.49,18.55,Płyta Redłowska,Autobus,
54.34,18.52,Kolbudzka,Autobus,
54.34,18.51,Kolbudzka,Autobus,
54.34,18.52,Łagowska,Autobus,
54.34,18.52,Łagowska,Autobus,
54.34,18.53,Stężycka,Autobus,
54.34,18.53,Stężycka,Autobus,
54.33,18.55,Szadółki,Autobus,
