lat,lon,title,type,link 
54.36,18.72,Rozłogi,Tramwaj,
54.36,18.69,Lenartowicza,Tramwaj,
54.36,18.68,Przeróbka,Tramwaj,
54.35,18.67,Głęboka,Tramwaj,
54.37,18.57,Brętowo PKM,Tramwaj,
54.33,18.57,Ujeścisko,Tramwaj,
54.33,18.57,Ujeścisko,Tramwaj,
54.33,18.57,Ujeścisko,Tramwaj,
54.33,18.57,Lawendowe Wzgórze,Tramwaj,
54.34,18.57,Zabornia,Tramwaj,
54.34,18.57,Zabornia,Tramwaj,
54.34,18.57,Stolema,Tramwaj,
54.34,18.57,Stolema,Tramwaj,
54.35,18.57,Łabędzia,Tramwaj,
54.35,18.57,Łabędzia,Tramwaj,
54.35,18.57,Królewskie Wzgórze,Tramwaj,
54.35,18.57,Królewskie Wzgórze,Tramwaj,
54.39,18.58,Zajezdnia Wrzeszcz (techniczny),Tramwaj,
54.39,18.58,Zajezdnia Wrzeszcz (techniczny),Tramwaj,
54.37,18.73,Stogi Plaża,Tramwaj,
54.35,18.58,Migowo,Tramwaj,
54.35,18.58,Migowo,Tramwaj,
54.36,18.58,Budapesztańska,Tramwaj,
54.36,18.58,Budapesztańska,Tramwaj,
54.37,18.57,Brętowo PKM (techniczny),Tramwaj,
54.36,18.58,Kolumba,Tramwaj,
54.36,18.59,Belgradzka,Tramwaj,
54.36,18.59,Belgradzka,Tramwaj,
54.35,18.59,Piekarnicza,Tramwaj,
54.35,18.59,Piekarnicza,Tramwaj,
54.32,18.61,Łostowice Świętokrzyska,Tramwaj,
54.33,18.6,Płocka,Tramwaj,
54.33,18.6,Płocka,Tramwaj,
54.33,18.6,Przemyska,Tramwaj,
54.33,18.6,Przemyska,Tramwaj,
54.34,18.6,Wilanowska,Tramwaj,
54.34,18.6,Wilanowska,Tramwaj,
54.34,18.61,Cebertowicza ,Tramwaj,
54.34,18.61,Cebertowicza ,Tramwaj,
54.34,18.61,Cieszyńskiego,Tramwaj,
54.34,18.61,Cieszyńskiego,Tramwaj,
54.34,18.62,Chełm Witosa,Tramwaj,
54.34,18.62,Sikorskiego,Tramwaj,
54.34,18.62,Sikorskiego,Tramwaj,
54.34,18.62,Chałubińskiego,Tramwaj,
54.34,18.62,Chałubińskiego,Tramwaj,
54.35,18.63,Odrzańska,Tramwaj,
54.35,18.63,Odrzańska,Tramwaj,
54.35,18.64,Pohulanka ,Tramwaj,
54.35,18.64,Pohulanka ,Tramwaj,
54.35,18.64,Śródmieście SKM,Tramwaj,
54.4,18.67,Przychodnia,Tramwaj,
54.4,18.67,Rybołowców,Tramwaj,
54.4,18.66,Na Zaspę,Tramwaj,
54.4,18.66,Kasztanowa,Tramwaj,
54.4,18.66,Kasztanowa,Tramwaj,
54.4,18.66,Latarnia Morska,Tramwaj,
54.4,18.66,Latarnia Morska,Tramwaj,
54.41,18.64,Krasickiego,Tramwaj,
54.41,18.64,Krasickiego,Tramwaj,
54.41,18.64,Brzeźno Dom Zdrojowy,Tramwaj,
54.41,18.64,Brzeźno Dom Zdrojowy,Tramwaj,
54.41,18.63,Mazurska,Tramwaj,
54.4,18.63,Uczniowska,Tramwaj,
54.41,18.63,Wczasy,Tramwaj,
54.4,18.62,Dworska,Tramwaj,
54.4,18.63,Sternicza,Tramwaj,
54.4,18.63,Gdańska,Tramwaj,
54.4,18.62,Aleja Płażyńskiego,Tramwaj,
54.4,18.62,Aleja Płażyńskiego,Tramwaj,
54.4,18.62,Grudziądzka,Tramwaj,
54.35,18.64,Śródmieście SKM,Tramwaj,
54.4,18.62,Grudziądzka,Tramwaj,
54.39,18.62,Kolonia Uroda,Tramwaj,
54.39,18.62,Kolonia Uroda,Tramwaj,
54.39,18.62,Kościuszki,Tramwaj,
54.39,18.62,Kościuszki,Tramwaj,
54.38,18.62,Mickiewicza,Tramwaj,
54.4,18.67,Nowy Port Zajezdnia,Tramwaj,
54.4,18.67,Plac Wolności,Tramwaj,
54.4,18.67,Marynarki Polskiej,Tramwaj,
54.39,18.66,Śnieżna,Tramwaj,
54.39,18.66,Śnieżna,Tramwaj,
